-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  Lazy Function Loading         0.00%      46.530us         0.00%      46.530us      46.530us      32.544us         0.00%      32.544us      32.544us             1  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      30.558us         0.00%      30.558us       1.091us            28  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      28.802us         0.00%      28.802us       1.372us            21  
                                 _zero_kv_blocks_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      20.960us         0.00%      20.960us      10.480us             2  
                                    _apply_write_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      16.641us         0.00%      16.641us       3.328us             5  
                           _C::vocab_parallel_embedding         0.00%      18.060us         0.00%      29.630us      29.630us      13.697us         0.00%      13.697us      13.697us             1  
                                              aten::sub         0.00%      86.000us         0.00%     135.980us       5.439us      11.295us         0.00%      11.295us       0.452us            25  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.325s
Self CUDA time total: 1.064s

