topology,local_baseline_type,collective,size_bytes,payload_label,description,local_latency_ms,local_algbw_gbs,multi_native_175g_ms,multi_native_algbw_gbs,multi_100g_ms,multi_100g_algbw_gbs,multi_50g_ms,multi_50g_algbw_gbs,multi_20g_ms,multi_20g_algbw_gbs,multi_10g_ms,multi_10g_algbw_gbs,multi_native_vs_local,multi_10g_vs_local
TP=4,Socket-Local Single-NUMA,AllReduce,4194304,4 MiB,4 MiB,0.255,16.47,0.806,5.2,0.825,5.09,1.064,3.94,2.636,1.59,5.277,0.79,3.16x,20.72x
TP=4,Socket-Local Single-NUMA,AllReduce,8388608,8 MiB,8 MiB,0.522,16.06,1.353,6.2,1.419,5.91,2.155,3.89,5.273,1.59,10.543,0.8,2.59x,20.19x
TP=4,Socket-Local Single-NUMA,AllReduce,16777216,16 MiB,16 MiB Activation,1.006,16.68,2.511,6.68,2.665,6.3,4.227,3.97,10.544,1.59,21.082,0.8,2.50x,20.95x
TP=4,Socket-Local Single-NUMA,AllReduce,33554432,32 MiB,32 MiB,2.008,16.71,5.251,6.39,5.024,6.68,8.448,3.97,21.094,1.59,42.207,0.8,2.61x,21.02x
TP=4,Socket-Local Single-NUMA,AllReduce,67108864,64 MiB,64 MiB Chunk,3.989,16.82,10.277,6.53,10.03,6.69,16.899,3.97,42.342,1.58,84.395,0.8,2.58x,21.16x
TP=4,Socket-Local Single-NUMA,AllReduce,134217728,128 MiB,8K Prefill Chunk (128 MiB),7.916,16.95,20.525,6.54,20.532,6.54,33.783,3.97,84.4,1.59,168.843,0.79,2.59x,21.33x
TP=4,Socket-Local Single-NUMA,AllReduce,268435456,256 MiB,Large Prefill (256 MiB),15.382,17.45,41.384,6.49,41.775,6.43,67.601,3.97,168.829,1.59,337.761,0.79,2.69x,21.96x
TP=4,Socket-Local Single-NUMA,AllGather,8192,8 KiB,Min Size Floor,0.012,0.68,0.092,0.09,0.115,0.07,0.096,0.09,0.117,0.07,0.519,0.02,7.65x,43.11x
TP=4,Socket-Local Single-NUMA,AllGather,16384,16 KiB,Batch-1 Token Decode,0.012,1.39,0.09,0.18,0.096,0.17,0.104,0.16,0.098,0.17,0.091,0.18,7.69x,7.74x
TP=4,Socket-Local Single-NUMA,AllGather,32768,32 KiB,32 KiB,0.012,2.64,0.124,0.26,0.191,0.17,0.157,0.21,0.15,0.22,2.422,0.01,10.03x,195.35x
TP=4,Socket-Local Single-NUMA,AllGather,65536,64 KiB,64 KiB,0.013,5.06,0.142,0.46,0.195,0.34,0.145,0.45,0.159,0.41,0.14,0.47,11.00x,10.81x
TP=4,Socket-Local Single-NUMA,AllGather,131072,128 KiB,Small Activation,0.017,7.61,0.164,0.8,2.472,0.05,0.186,0.71,0.17,0.77,0.16,0.82,9.52x,9.31x
TP=4,Socket-Local Single-NUMA,AllGather,262144,256 KiB,256 KiB,0.026,9.91,0.261,1.01,0.344,0.76,0.331,0.79,0.297,0.88,0.337,0.78,9.85x,12.75x
