-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void vllm::moe::moe_align_block_size_kernel<int>(int...         0.00%       0.000us         0.00%       0.000us       0.000us     439.357us         0.06%     439.357us      16.898us            26  
               _combine_sampled_and_draft_tokens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     408.260us         0.05%     408.260us       3.190us           128  
                                           aten::argmax         0.02%       1.154ms         0.03%       1.651ms      12.899us     403.014us         0.05%     403.014us       3.149us           128  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     403.014us         0.05%     403.014us       3.149us           128  
                                    _post_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     385.886us         0.05%     385.886us       3.015us           128  
                   _get_num_sampled_and_rejected_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     383.677us         0.05%     383.677us       2.997us           128  
                                   _moe_C::grouped_topk         0.01%     574.030us         0.07%       3.290ms     102.798us     372.862us         0.05%     372.862us      11.652us            32  
void vllm::moe::single_group_topk::detail::single_gr...         0.00%       0.000us         0.00%       0.000us       0.000us     372.862us         0.05%     372.862us      14.341us            26  
                                  cudaStreamIsCapturing         0.01%     337.660us         0.01%     337.660us       0.230us     365.698us         0.05%     365.698us       0.249us          1468  
                          _compute_slot_mappings_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     365.505us         0.05%     365.505us       2.856us           128  
                                           _C::rms_norm         0.02%     788.770us         0.03%       1.363ms      10.019us     344.319us         0.04%     344.319us       2.532us           136  
void vllm::moe::count_and_sort_expert_tokens_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     318.850us         0.04%     318.850us      12.263us            26  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     304.124us         0.04%     304.124us       2.376us           128  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     300.580us         0.04%     300.580us       1.093us           275  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     300.515us         0.04%     300.515us       2.348us           128  
                                     l2norm_fwd_kernel2         0.00%       0.000us         0.00%       0.000us       0.000us     284.483us         0.04%     284.483us       7.112us            40  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     278.115us         0.04%     278.115us       1.086us           256  
                                           aten::gather         0.03%       1.214ms         0.04%       1.788ms      13.971us     221.536us         0.03%     221.536us       1.731us           128  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     221.536us         0.03%     221.536us       1.731us           128  
                               cudaEventRecordWithFlags         0.01%     560.980us         0.01%     560.980us       0.713us     211.104us         0.03%     211.104us       0.268us           787  
void vllm::vocab_embedding::vocab_parallel_embedding...         0.00%       0.000us         0.00%       0.000us       0.000us     199.974us         0.03%     199.974us       1.562us           128  
                          _gather_initial_states_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     174.498us         0.02%     174.498us       8.725us            20  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     167.392us         0.02%     167.392us      11.957us            14  
                           _prepare_pos_seq_lens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     149.862us         0.02%     149.862us       1.171us           128  
                           _scatter_num_accepted_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     135.104us         0.02%     135.104us       1.055us           128  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     116.441us         0.01%     116.441us       0.910us           128  
                                 aten::_index_put_impl_         0.01%     258.520us         0.01%     708.150us      35.408us     114.272us         0.01%     145.761us       7.288us            20  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     114.272us         0.01%     114.272us       5.714us            20  
                                           aten::arange         0.02%     937.430us         0.08%       3.746ms      14.407us     107.877us         0.01%     215.754us       0.830us           260  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     107.877us         0.01%     107.877us       0.843us           128  
       _C::fused_kimi_k3_mla_key_concat_kv_cache_insert         0.00%      45.510us         0.00%      79.760us      11.394us      96.993us         0.01%      96.993us      13.856us             7  
void vllm::kimi_k3_fused_ops::fusedKimiK3MLAKeyConca...         0.00%       0.000us         0.00%       0.000us       0.000us      96.993us         0.01%      96.993us      13.856us             7  
                           _C::vocab_parallel_embedding         0.00%      28.600us         0.00%      45.410us      45.410us      42.432us         0.01%      42.432us      42.432us             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      32.833us         0.00%      32.833us       1.563us            21  
                                 _zero_kv_blocks_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      21.280us         0.00%      21.280us      10.640us             2  
                                    _apply_write_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      18.401us         0.00%      18.401us       3.680us             5  
                                              aten::sub         0.00%     107.800us         0.00%     167.750us       6.710us      12.449us         0.00%      12.449us       0.498us            25  
                         _prepare_prefill_inputs_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      10.656us         0.00%      10.656us      10.656us             1  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us       9.537us         0.00%       9.537us       1.192us             8  
                                        cudaGraphLaunch         1.57%      75.791ms         1.62%      78.448ms     617.701us       6.559us         0.00%       6.559us       0.052us           127  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       5.952us         0.00%       5.952us       1.488us             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.632us         0.00%       5.632us       1.408us             4  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.800us         0.00%       4.800us       1.200us             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.872us         0.00%       3.872us       1.291us             3  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.830s
Self CUDA time total: 788.320ms

