file,label,kind,tp,network_provenance,cap_gbit,size_label,size_bytes,time_us,algbw_GBs,busbw_GBs,parse_index,raw_line
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/220_sendrecv_GCP_CAPPED_50G_128k.log,220_sendrecv_GCP_CAPPED_50G_128k,SENDRECV,,GCP_CAPPED_50G,50.0,128K,131072,-1.0,6.71,19.53,4,131072         32768     float     sum      -1     6.71   19.53   19.53       0     1.17  112.22  112.22    N/A
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/220_sendrecv_GCP_CAPPED_50G_512k.log,220_sendrecv_GCP_CAPPED_50G_512k,SENDRECV,,GCP_CAPPED_50G,50.0,512K,524288,-1.0,6.99,75.04,4,524288        131072     float     sum      -1     6.99   75.04   75.04       0     1.13  465.62  465.62    N/A
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/220_sendrecv_GCP_CAPPED_50G_64m.log,220_sendrecv_GCP_CAPPED_50G_64m,SENDRECV,,GCP_CAPPED_50G,50.0,64M,67108864,-1.0,49.1,1366.9,4,67108864      16777216     float     sum      -1    49.10  1366.9  1366.9       0     1.10   60815   60815    N/A
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/220_sendrecv_GCP_CAPPED_50G_128m.log,220_sendrecv_GCP_CAPPED_50G_128m,SENDRECV,,GCP_CAPPED_50G,50.0,128M,134217728,-1.0,189.57,708.02,4,134217728      33554432     float     sum      -1   189.57  708.02  708.02       0     1.14  117272  117272    N/A
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/220_sendrecv_GCP_CAPPED_50G_256m.log,220_sendrecv_GCP_CAPPED_50G_256m,SENDRECV,,GCP_CAPPED_50G,50.0,256M,268435456,-1.0,375.2,715.44,4,268435456      67108864     float     sum      -1   375.20  715.44  715.44       0     1.67  161077  161077    N/A
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/220_sendrecv_GCP_CAPPED_20G_16k.log,220_sendrecv_GCP_CAPPED_20G_16k,SENDRECV,,GCP_CAPPED_20G,20.0,16K,16384,-1.0,5.31,3.09,4,16384          4096     float     sum      -1     5.31    3.09    3.09       0     1.17   13.97   13.97    N/A
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/220_sendrecv_GCP_CAPPED_20G_128k.log,220_sendrecv_GCP_CAPPED_20G_128k,SENDRECV,,GCP_CAPPED_20G,20.0,128K,131072,-1.0,6.77,19.37,4,131072         32768     float     sum      -1     6.77   19.37   19.37       0     1.11  118.40  118.40    N/A
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/220_sendrecv_GCP_CAPPED_20G_512k.log,220_sendrecv_GCP_CAPPED_20G_512k,SENDRECV,,GCP_CAPPED_20G,20.0,512K,524288,-1.0,6.97,75.2,4,524288        131072     float     sum      -1     6.97   75.20   75.20       0     1.16  453.73  453.73    N/A
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/220_sendrecv_GCP_CAPPED_20G_64m.log,220_sendrecv_GCP_CAPPED_20G_64m,SENDRECV,,GCP_CAPPED_20G,20.0,64M,67108864,-1.0,49.37,1359.3,4,67108864      16777216     float     sum      -1    49.37  1359.3  1359.3       0     1.08   61937   61937    N/A
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/220_sendrecv_GCP_CAPPED_20G_128m.log,220_sendrecv_GCP_CAPPED_20G_128m,SENDRECV,,GCP_CAPPED_20G,20.0,128M,134217728,-1.0,189.8,707.15,4,134217728      33554432     float     sum      -1   189.80  707.15  707.15       0     1.13  119146  119146    N/A
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/220_sendrecv_GCP_CAPPED_20G_256m.log,220_sendrecv_GCP_CAPPED_20G_256m,SENDRECV,,GCP_CAPPED_20G,20.0,256M,268435456,-1.0,374.67,716.46,4,268435456      67108864     float     sum      -1   374.67  716.46  716.46       0     1.18  228068  228068    N/A
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/220_sendrecv_GCP_CAPPED_10G_16k.log,220_sendrecv_GCP_CAPPED_10G_16k,SENDRECV,,GCP_CAPPED_10G,10.0,16K,16384,-1.0,5.28,3.1,4,16384          4096     float     sum      -1     5.28    3.10    3.10       0     1.15   14.23   14.23    N/A
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/220_sendrecv_GCP_CAPPED_10G_128k.log,220_sendrecv_GCP_CAPPED_10G_128k,SENDRECV,,GCP_CAPPED_10G,10.0,128K,131072,-1.0,6.55,20.0,4,131072         32768     float     sum      -1     6.55   20.00   20.00       0     1.16  112.90  112.90    N/A
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/220_sendrecv_GCP_CAPPED_10G_512k.log,220_sendrecv_GCP_CAPPED_10G_512k,SENDRECV,,GCP_CAPPED_10G,10.0,512K,524288,-1.0,6.91,75.83,4,524288        131072     float     sum      -1     6.91   75.83   75.83       0     1.10  476.84  476.84    N/A
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/220_sendrecv_GCP_CAPPED_10G_64m.log,220_sendrecv_GCP_CAPPED_10G_64m,SENDRECV,,GCP_CAPPED_10G,10.0,64M,67108864,-1.0,49.6,1353.0,4,67108864      16777216     float     sum      -1    49.60  1353.0  1353.0       0     1.11   60350   60350    N/A
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/220_sendrecv_GCP_CAPPED_10G_128m.log,220_sendrecv_GCP_CAPPED_10G_128m,SENDRECV,,GCP_CAPPED_10G,10.0,128M,134217728,-1.0,190.04,706.25,4,134217728      33554432     float     sum      -1   190.04  706.25  706.25       0     1.17  115011  115011    N/A
/home/ayu23/rtx_g4_smoke/results/20260915_smoke_v4/kimi-node-0/220_sendrecv_GCP_CAPPED_10G_256m.log,220_sendrecv_GCP_CAPPED_10G_256m,SENDRECV,,GCP_CAPPED_10G,10.0,256M,268435456,-1.0,374.39,717.0,4,268435456      67108864     float     sum      -1   374.39  717.00  717.00       0     1.16  231610  231610    N/A
