-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
               fused_recurrent_kda_packed_decode_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       8.957ms         1.13%       8.957ms       3.526us          2540  
void vllm::moe::single_group_topk::detail::single_gr...         0.00%       0.000us         0.00%       0.000us       0.000us       7.798ms         0.98%       7.798ms       2.362us          3302  
                           _causal_conv1d_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       6.444ms         0.81%       6.444ms       2.537us          2540  
                                        _moe_C::moe_sum         0.00%      86.290us         0.00%     176.580us       6.792us       6.261ms         0.79%       6.261ms     240.821us            26  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.044ms         0.76%       6.044ms       1.695us          3565  
                                _vllm_fa2_C::varlen_fwd         0.00%     138.200us         0.01%     252.730us      36.104us       5.806ms         0.73%       5.806ms     829.471us             7  
void flash::flash_fwd_kernel<Flash_fwd_kernel_traits...         0.00%       0.000us         0.00%       0.000us       0.000us       5.806ms         0.73%       5.806ms     829.471us             7  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.024ms         0.63%       5.024ms       1.454us          3456  
         chunk_gated_delta_rule_fwd_kernel_h_blockdim64         0.00%       0.000us         0.00%       0.000us       0.000us       4.988ms         0.63%       4.988ms     249.403us            20  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us       4.371ms         0.55%       4.371ms       0.840us          5207  
                            layer_norm_gated_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       4.245ms         0.54%       4.245ms       1.658us          2560  
                                  _gumbel_sample_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.833ms         0.48%       3.833ms      29.943us           128  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       3.764ms         0.47%       3.764ms     110.703us            34  
                                       vllm::all_gather         0.01%     617.420us         0.24%      11.839ms      92.496us       3.142ms         0.40%       3.142ms      24.550us           128  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us       3.142ms         0.40%       3.142ms      24.550us           128  
                                 _C::fused_add_rms_norm         0.01%     303.010us         0.01%     528.230us       9.967us       2.481ms         0.31%       2.481ms      46.804us            53  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 2, true...         0.00%       0.000us         0.00%       0.000us       0.000us       2.415ms         0.30%       2.415ms       2.096us          1152  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       2.362ms         0.30%       2.362ms       2.657us           889  
                                            aten::copy_         0.09%       4.559ms         0.25%      12.051ms       5.274us       2.185ms         0.28%       2.193ms       0.960us          2285  
void vllm::kimi_k3_fused_ops::fusedKimiK3MLADecodeQC...         0.00%       0.000us         0.00%       0.000us       0.000us       1.891ms         0.24%       1.891ms       2.128us           889  
                              _causal_conv1d_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.739ms         0.22%       1.739ms      28.984us            60  
              chunk_kda_fwd_kernel_intra_token_parallel         0.00%       0.000us         0.00%       0.000us       0.000us       1.531ms         0.19%       1.531ms      76.566us            20  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.448ms         0.18%       1.448ms       0.802us          1805  
                                              aten::add         0.01%     275.160us         0.01%     396.060us      12.776us       1.418ms         0.18%       1.418ms      45.758us            31  
                                            aten::index         0.09%       4.137ms         0.14%       7.007ms      18.247us       1.376ms         0.17%       1.376ms       3.584us           384  
                                       _C::silu_and_mul         0.00%     212.410us         0.01%     419.750us       7.920us       1.348ms         0.17%       1.348ms      25.439us            53  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us       1.348ms         0.17%       1.348ms      25.439us            53  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.269ms         0.16%       1.269ms       1.569us           809  
                                 chunk_gla_fwd_kernel_o         0.00%       0.000us         0.00%       0.000us       0.000us       1.183ms         0.15%       1.183ms      59.149us            20  
void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm...         0.00%       0.000us         0.00%       0.000us       0.000us       1.098ms         0.14%       1.098ms      42.225us            26  
                                       cuLaunchKernelEx         0.12%       5.959ms         0.12%       5.959ms       3.903us     954.880us         0.12%     954.880us       0.625us          1527  
                               recompute_w_u_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     905.506us         0.11%     905.506us      45.275us            20  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     768.828us         0.10%     768.828us       6.006us           128  
                           _moe_C::moe_align_block_size         0.01%     253.200us         0.01%     655.190us      25.200us     763.745us         0.10%     763.745us      29.375us            26  
                 chunk_kda_fwd_kernel_inter_solve_fused         0.00%       0.000us         0.00%       0.000us       0.000us     760.734us         0.10%     760.734us      38.037us            20  
                    kda_gate_chunk_cumsum_vector_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     550.177us         0.07%     550.177us      27.509us            20  
                            _gather_block_tables_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     526.050us         0.07%     526.050us       4.110us           128  
               _combine_sampled_and_draft_tokens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     497.155us         0.06%     497.155us       3.884us           128  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     485.983us         0.06%     485.983us      24.299us            20  
                                            aten::fill_         0.06%       2.772ms         0.11%       5.464ms       3.792us     479.039us         0.06%     479.903us       0.333us          1441  
void vllm::moe::moe_align_block_size_kernel<int>(int...         0.00%       0.000us         0.00%       0.000us       0.000us     440.895us         0.06%     440.895us      16.958us            26  
                   _get_num_sampled_and_rejected_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     440.762us         0.06%     440.762us       3.443us           128  
                                           aten::argmax         0.02%       1.168ms         0.03%       1.647ms      12.867us     405.568us         0.05%     405.568us       3.168us           128  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     405.568us         0.05%     405.568us       3.168us           128  
                                    _post_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     396.222us         0.05%     396.222us       3.095us           128  
                                   _moe_C::grouped_topk         0.01%     578.280us         0.07%       3.246ms     101.430us     374.531us         0.05%     374.531us      11.704us            32  
void vllm::moe::single_group_topk::detail::single_gr...         0.00%       0.000us         0.00%       0.000us       0.000us     374.531us         0.05%     374.531us      14.405us            26  
                          _compute_slot_mappings_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     366.402us         0.05%     366.402us       2.863us           128  
                                  cudaStreamIsCapturing         0.01%     324.210us         0.01%     324.210us       0.221us     365.024us         0.05%     365.024us       0.249us          1468  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     364.291us         0.05%     364.291us       1.423us           256  
                                           _C::rms_norm         0.02%     791.770us         0.03%       1.377ms      10.127us     345.892us         0.04%     345.892us       2.543us           136  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     343.436us         0.04%     343.436us       1.249us           275  
void vllm::moe::count_and_sort_expert_tokens_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     322.850us         0.04%     322.850us      12.417us            26  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     306.424us         0.04%     306.424us       2.394us           128  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     300.864us         0.04%     300.864us       2.351us           128  
                                     l2norm_fwd_kernel2         0.00%       0.000us         0.00%       0.000us       0.000us     284.861us         0.04%     284.861us       7.122us            40  
                                           aten::gather         0.03%       1.287ms         0.04%       1.866ms      14.574us     220.411us         0.03%     220.411us       1.722us           128  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     220.411us         0.03%     220.411us       1.722us           128  
                               cudaEventRecordWithFlags         0.01%     578.140us         0.01%     578.140us       0.735us     216.032us         0.03%     216.032us       0.275us           787  
void vllm::vocab_embedding::vocab_parallel_embedding...         0.00%       0.000us         0.00%       0.000us       0.000us     180.317us         0.02%     180.317us       1.409us           128  
                          _gather_initial_states_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     171.105us         0.02%     171.105us       8.555us            20  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     167.392us         0.02%     167.392us      11.957us            14  
                           _prepare_pos_seq_lens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     150.853us         0.02%     150.853us       1.179us           128  
                           _scatter_num_accepted_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     134.904us         0.02%     134.904us       1.054us           128  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     116.512us         0.01%     116.512us       0.910us           128  
                                 aten::_index_put_impl_         0.01%     255.290us         0.01%     711.160us      35.558us     114.557us         0.01%     146.141us       7.307us            20  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     114.557us         0.01%     114.557us       5.728us            20  
                                           aten::arange         0.02%     930.390us         0.08%       3.725ms      14.326us     108.320us         0.01%     216.640us       0.833us           260  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     108.320us         0.01%     108.320us       0.846us           128  
       _C::fused_kimi_k3_mla_key_concat_kv_cache_insert         0.00%      41.650us         0.00%      74.930us      10.704us     100.767us         0.01%     100.767us      14.395us             7  
void vllm::kimi_k3_fused_ops::fusedKimiK3MLAKeyConca...         0.00%       0.000us         0.00%       0.000us       0.000us     100.767us         0.01%     100.767us      14.395us             7  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      32.896us         0.00%      32.896us       1.566us            21  
                                 _zero_kv_blocks_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      21.407us         0.00%      21.407us      10.704us             2  
                                    _apply_write_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      19.105us         0.00%      19.105us       3.821us             5  
                           _C::vocab_parallel_embedding         0.00%      24.130us         0.00%      36.140us      36.140us      18.176us         0.00%      18.176us      18.176us             1  
                                              aten::sub         0.00%      90.800us         0.00%     145.310us       5.812us      12.287us         0.00%      12.287us       0.491us            25  
                         _prepare_prefill_inputs_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      10.720us         0.00%      10.720us      10.720us             1  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us       8.864us         0.00%       8.864us       1.108us             8  
                                        cudaGraphLaunch         1.55%      74.988ms         1.60%      77.237ms     608.164us       6.560us         0.00%       6.560us       0.052us           127  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       5.951us         0.00%       5.951us       1.488us             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.535us         0.00%       5.535us       1.384us             4  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.799us         0.00%       4.799us       1.200us             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.841us         0.00%       3.841us       1.280us             3  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.839s
Self CUDA time total: 792.932ms

