-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
               fused_recurrent_kda_packed_decode_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       8.932ms         1.14%       8.932ms       3.517us          2540  
void vllm::moe::single_group_topk::detail::single_gr...         0.00%       0.000us         0.00%       0.000us       0.000us       7.798ms         1.00%       7.798ms       2.362us          3302  
                           _causal_conv1d_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       6.458ms         0.83%       6.458ms       2.543us          2540  
                                        _moe_C::moe_sum         0.00%      85.990us         0.00%     179.190us       6.892us       6.257ms         0.80%       6.257ms     240.673us            26  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.960ms         0.76%       5.960ms       1.672us          3565  
                                _vllm_fa2_C::varlen_fwd         0.00%     138.530us         0.01%     256.030us      36.576us       5.782ms         0.74%       5.782ms     826.015us             7  
void flash::flash_fwd_kernel<Flash_fwd_kernel_traits...         0.00%       0.000us         0.00%       0.000us       0.000us       5.782ms         0.74%       5.782ms     826.015us             7  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.060ms         0.65%       5.060ms       1.464us          3456  
         chunk_gated_delta_rule_fwd_kernel_h_blockdim64         0.00%       0.000us         0.00%       0.000us       0.000us       4.827ms         0.62%       4.827ms     241.329us            20  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us       4.314ms         0.55%       4.314ms       0.828us          5207  
                            layer_norm_gated_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       4.241ms         0.54%       4.241ms       1.657us          2560  
                                  _gumbel_sample_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.890ms         0.50%       3.890ms      30.389us           128  
                                       vllm::all_gather         0.01%     623.210us         0.24%      11.499ms      89.837us       3.835ms         0.49%       3.835ms      29.960us           128  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us       3.835ms         0.49%       3.835ms      29.960us           128  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       3.735ms         0.48%       3.735ms     109.847us            34  
                                 _C::fused_add_rms_norm         0.01%     286.590us         0.01%     517.430us       9.763us       2.532ms         0.32%       2.532ms      47.773us            53  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 2, true...         0.00%       0.000us         0.00%       0.000us       0.000us       2.402ms         0.31%       2.402ms       2.085us          1152  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       2.341ms         0.30%       2.341ms       2.633us           889  
                                            aten::copy_         0.10%       4.796ms         0.26%      12.761ms       5.585us       2.166ms         0.28%       2.175ms       0.952us          2285  
void vllm::kimi_k3_fused_ops::fusedKimiK3MLADecodeQC...         0.00%       0.000us         0.00%       0.000us       0.000us       1.898ms         0.24%       1.898ms       2.135us           889  
                              _causal_conv1d_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.759ms         0.22%       1.759ms      29.309us            60  
              chunk_kda_fwd_kernel_intra_token_parallel         0.00%       0.000us         0.00%       0.000us       0.000us       1.524ms         0.19%       1.524ms      76.216us            20  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.435ms         0.18%       1.435ms       0.795us          1805  
                                              aten::add         0.01%     274.800us         0.01%     420.460us      13.563us       1.422ms         0.18%       1.422ms      45.870us            31  
                                            aten::index         0.09%       4.276ms         0.15%       7.285ms      18.972us       1.385ms         0.18%       1.393ms       3.629us           384  
                                       _C::silu_and_mul         0.00%     221.600us         0.01%     441.490us       8.330us       1.350ms         0.17%       1.350ms      25.468us            53  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us       1.350ms         0.17%       1.350ms      25.468us            53  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.264ms         0.16%       1.264ms       1.562us           809  
                                 chunk_gla_fwd_kernel_o         0.00%       0.000us         0.00%       0.000us       0.000us       1.180ms         0.15%       1.180ms      58.998us            20  
void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm...         0.00%       0.000us         0.00%       0.000us       0.000us       1.117ms         0.14%       1.117ms      42.976us            26  
                                       cuLaunchKernelEx         0.13%       6.072ms         0.13%       6.072ms       3.977us     964.609us         0.12%     964.609us       0.632us          1527  
                           _moe_C::moe_align_block_size         0.01%     252.260us         0.01%     636.770us      24.491us     959.229us         0.12%     959.229us      36.893us            26  
                               recompute_w_u_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     926.049us         0.12%     926.049us      46.302us            20  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     779.231us         0.10%     779.231us       6.088us           128  
                 chunk_kda_fwd_kernel_inter_solve_fused         0.00%       0.000us         0.00%       0.000us       0.000us     755.392us         0.10%     755.392us      37.770us            20  
                    kda_gate_chunk_cumsum_vector_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     543.871us         0.07%     543.871us      27.194us            20  
                   _get_num_sampled_and_rejected_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     535.644us         0.07%     535.644us       4.185us           128  
void vllm::moe::count_and_sort_expert_tokens_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     516.829us         0.07%     516.829us      19.878us            26  
                            _gather_block_tables_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     493.443us         0.06%     493.443us       3.855us           128  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     486.080us         0.06%     486.080us      24.304us            20  
                                            aten::fill_         0.06%       3.012ms         0.12%       5.865ms       4.070us     472.894us         0.06%     615.294us       0.427us          1441  
void vllm::moe::moe_align_block_size_kernel<int>(int...         0.00%       0.000us         0.00%       0.000us       0.000us     442.400us         0.06%     442.400us      17.015us            26  
                                    _post_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     410.786us         0.05%     410.786us       3.209us           128  
                                   _moe_C::grouped_topk         0.01%     575.150us         0.07%       3.266ms     102.049us     406.783us         0.05%     406.783us      12.712us            32  
void vllm::moe::single_group_topk::detail::single_gr...         0.00%       0.000us         0.00%       0.000us       0.000us     406.783us         0.05%     406.783us      15.645us            26  
                                           aten::argmax         0.02%       1.183ms         0.04%       1.698ms      13.263us     405.209us         0.05%     405.209us       3.166us           128  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     405.209us         0.05%     405.209us       3.166us           128  
               _combine_sampled_and_draft_tokens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     386.908us         0.05%     386.908us       3.023us           128  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     386.784us         0.05%     386.784us       1.511us           256  
                          _compute_slot_mappings_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     365.734us         0.05%     365.734us       2.857us           128  
                                  cudaStreamIsCapturing         0.01%     357.880us         0.01%     357.960us       0.244us     343.843us         0.04%     343.843us       0.234us          1468  
                                           _C::rms_norm         0.02%     821.360us         0.03%       1.460ms      10.733us     343.775us         0.04%     343.775us       2.528us           136  
                               cudaEventRecordWithFlags         0.01%     659.820us         0.01%     659.820us       0.838us     330.944us         0.04%     330.944us       0.421us           787  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     308.586us         0.04%     308.586us       1.122us           275  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     304.921us         0.04%     304.921us       2.382us           128  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     300.738us         0.04%     300.738us       2.350us           128  
                                     l2norm_fwd_kernel2         0.00%       0.000us         0.00%       0.000us       0.000us     287.744us         0.04%     287.744us       7.194us            40  
                                           aten::gather         0.03%       1.252ms         0.04%       1.855ms      14.495us     223.933us         0.03%     223.933us       1.749us           128  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     223.933us         0.03%     223.933us       1.749us           128  
void vllm::vocab_embedding::vocab_parallel_embedding...         0.00%       0.000us         0.00%       0.000us       0.000us     209.506us         0.03%     209.506us       1.637us           128  
                          _gather_initial_states_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     172.895us         0.02%     172.895us       8.645us            20  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     167.359us         0.02%     167.359us      11.954us            14  
                           _prepare_pos_seq_lens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     159.584us         0.02%     159.584us       1.247us           128  
                           _scatter_num_accepted_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     133.694us         0.02%     133.694us       1.044us           128  
                                 aten::_index_put_impl_         0.01%     254.810us         0.02%     737.550us      36.877us     119.458us         0.02%     150.434us       7.522us            20  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     119.458us         0.02%     119.458us       5.973us            20  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     115.496us         0.01%     115.496us       0.902us           128  
                                           aten::arange         0.02%     987.410us         0.08%       3.845ms      14.787us     108.163us         0.01%     216.326us       0.832us           260  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     108.163us         0.01%     108.163us       0.845us           128  
       _C::fused_kimi_k3_mla_key_concat_kv_cache_insert         0.00%      41.150us         0.00%      77.640us      11.091us      99.200us         0.01%      99.200us      14.171us             7  
void vllm::kimi_k3_fused_ops::fusedKimiK3MLAKeyConca...         0.00%       0.000us         0.00%       0.000us       0.000us      99.200us         0.01%      99.200us      14.171us             7  
                                        cudaGraphLaunch         1.59%      76.939ms         1.64%      79.301ms     624.419us      40.095us         0.01%      40.095us       0.316us           127  
                                    cudaStreamWaitEvent         0.01%     573.480us         0.01%     573.480us       0.847us      34.560us         0.00%      34.560us       0.051us           677  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      32.320us         0.00%      32.320us       1.539us            21  
                                 _zero_kv_blocks_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      21.664us         0.00%      21.664us      10.832us             2  
                                    _apply_write_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      18.465us         0.00%      18.465us       3.693us             5  
                           _C::vocab_parallel_embedding         0.00%      24.630us         0.00%      39.860us      39.860us      16.512us         0.00%      16.512us      16.512us             1  
                                              aten::sub         0.00%      92.360us         0.00%     156.670us       6.267us      11.392us         0.00%      11.392us       0.456us            25  
                         _prepare_prefill_inputs_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      10.783us         0.00%      10.783us      10.783us             1  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us       9.504us         0.00%       9.504us       1.188us             8  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       5.920us         0.00%       5.920us       1.480us             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.728us         0.00%       5.728us       1.432us             4  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.096us         0.00%       4.096us       1.024us             4  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.827s
Self CUDA time total: 782.611ms

